system:index,vh,vh_vv_ratio,vv,angle,date,dewpoint_temperature_2m,latitude,longitude,oil_candidate,orbit_direction,orbit_type,surface_net_solar_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,wind_direction_degrees,wind_speed_10m,.geo,nasa_power_air_temp_2m,nasa_power_max_air_temp_2m,nasa_power_min_air_temp_2m,nasa_power_wind_speed_2m_m/s,nasa_power_precipitation_mm,nasa_power_solar_radiation_MJm2day
184_2_260,-22.462224291702057,2.220961439154002,-10.113738985156925,44.33468627929688,2019-09-09,294.46301396687824,37.271444156944106,-75.85993330772948,0,0,ASC,5118649.5,101969.00341796876,296.610294342041,0.0014338583995896,-4.4100602467854815,-0.5250695546468099,-96.7897737234764,4.441208103376222,"{""type"":""Point"",""coordinates"":[-75.85993330772948,37.27144415694411]}",23.79,24.97,22.95,4.14,0.27,12.07
184_2_263,-26.06710317075914,1.6806829504192733,-15.509827813899276,36.016746520996094,2019-09-09,294.5453707377116,37.326804626379854,-77.15743608594235,0,0,ASC,3924084.25,101749.37841796876,297.2800534566244,0.0005104278524714623,-1.5843766530354817,-0.2399133046468099,-98.6105658542267,1.602438071324589,"{""type"":""Point"",""coordinates"":[-77.15743608594235,37.326804626379854]}",23.87,28.85,20.04,0.71,0.91,15.95
185_1_33,-28.191709814461102,1.1087738678520789,-25.42602295369226,35.521690368652344,2019-09-16,290.8443495432536,39.36853550007995,-76.01059248597983,1,0,ASC,4247680.5,101510.89143880208,297.33790079752606,0.00016383454203605652,0.8430830637613932,0.3831628163655599,65.55924207817279,0.9260684619651428,"{""type"":""Point"",""coordinates"":[-76.01059248597983,39.36853550007995]}",25.24,32.11,19.67,0.94,0.0,14.77
185_1_102,-36.31104668953214,1.2577280692983972,-28.870347713387407,38.89376449584961,2019-09-16,293.91433652242023,38.405178497515976,-75.15427952171069,1,0,ASC,4615775.75,101688.55810546876,296.2748311360677,0.00029006414115428925,-0.1517086029052734,0.8476403554280599,-10.147220622242047,0.8611095588516468,"{""type"":""Point"",""coordinates"":[-75.15427952171069,38.405178497515976]}",23.48,26.66,21.44,2.13,0.26,17.86
185_1_133,-22.94579355902785,0.9713708082662168,-23.622074457830795,34.97616958618164,2019-09-16,292.7133274078369,39.15744350954389,-76.0593068740037,1,0,ASC,4532344.666666667,101516.18310546876,297.06641642252606,0.0001854896545410156,0.7896569569905599,1.1221764882405598,35.13341468515698,1.3721655076861197,"{""type"":""Point"",""coordinates"":[-76.0593068740037,39.15744350954389]}",26.05,32.55,20.55,1.05,0.01,14.77
185_1_139,-32.696140857987935,1.455714071346777,-22.460551492600864,34.08877944946289,2019-09-16,293.9061171213786,39.03327481911461,-76.18847968650985,1,0,ASC,5411755.416666667,101686.80810546876,297.26050821940106,0.00014337276419003803,0.6541996002197266,1.6830081939697266,21.241527473160865,1.805683720338889,"{""type"":""Point"",""coordinates"":[-76.18847968650985,39.0332748191146]}",26.05,32.55,20.55,1.05,0.01,14.77
185_1_159,-22.613145680695265,0.9820933347984776,-23.02545479074594,35.80677795410156,2019-09-16,290.4918104807536,39.54521501686321,-75.998506866675,1,0,ASC,4135755.4166666665,101603.80810546876,297.2135518391927,0.00015424440304438272,0.8106937408447266,0.2393232981363932,73.55297664566574,0.845281007994204,"{""type"":""Point"",""coordinates"":[-75.998506866675,39.54521501686321]}",25.24,32.11,19.67,0.94,0.0,13.19
185_1_168,-47.72048057282713,2.1561686473044244,-22.132072383338755,36.47008895874024,2019-09-16,294.8260389963786,37.76155437618908,-75.46769982744293,1,0,ASC,5280421.583333333,101712.39143880208,296.9440205891927,5.269826700290045e-05,-0.5988521575927734,0.8915449778238932,-33.88931956366741,1.0740001648680164,"{""type"":""Point"",""coordinates"":[-75.46769982744293,37.76155437618908]}",25.2,30.69,21.39,1.37,0.22,20.99
185_1_192,-27.731134546450097,1.1409114755189036,-24.30612290391554,34.43520736694336,2019-09-16,291.1215305328369,39.39199763548393,-76.21323492350629,1,0,ASC,4242504.75,101553.55810546876,296.7496846516927,0.00010757148265838624,0.6591231028238932,0.5392093658447266,50.71440347615395,0.851580885700747,"{""type"":""Point"",""coordinates"":[-76.21323492350629,39.39199763548393]}",25.24,32.11,19.67,0.94,0.0,14.77
185_1_239,-35.75452606203292,1.2850126863667992,-27.82425920099204,34.0464973449707,2019-09-16,294.7322889963786,37.95935169625495,-75.94619901488262,1,0,ASC,5081570.833333333,101798.76643880208,297.4246520996094,0.00021584642430146536,-0.0505530039469401,0.92332394917806,-3.133878123719977,0.924706829937915,"{""type"":""Point"",""coordinates"":[-75.94619901488262,37.95935169625495]}",25.65,29.3,22.94,1.54,0.07,20.99
185_1_272,-47.67864125985436,2.1548615097975365,-22.126081440999,36.89241027832031,2019-09-16,294.53689511617023,37.86514845478911,-75.41423473678624,1,0,ASC,5200798.5,101735.22477213542,296.7110290527344,0.00010032361994187038,-0.4551347096761067,0.8674157460530599,-27.686082767716357,0.979570150858396,"{""type"":""Point"",""coordinates"":[-75.41423473678624,37.8651484547891]}",25.2,30.69,21.39,1.37,0.22,20.99
185_1_278,-28.426137454102967,1.2098736271802333,-23.49512942137085,36.69942855834961,2019-09-16,294.5748996734619,37.91360642838203,-75.46065220847025,1,0,ASC,4947606.0,101697.80810546876,296.8438415527344,0.00011197725931803386,-0.3905595143636067,0.8513431549072266,-24.643615305605245,0.9366546330784504,"{""type"":""Point"",""coordinates"":[-75.46065220847025,37.91360642838203]}",25.2,30.69,21.39,1.37,0.22,20.99
185_1_290,-27.881699694004183,1.0720770118456846,-26.0071798816049,33.339324951171875,2019-09-16,294.01296933492023,38.73392230176207,-76.24842717678327,1,0,ASC,5364140.666666667,101706.34977213542,297.41016642252606,0.00010772421956062316,0.4931481679280599,1.5796553293863933,17.337695348544,1.654843217706631,"{""type"":""Point"",""coordinates"":[-76.24842717678327,38.73392230176207]}",26.29,32.5,21.54,0.95,0.04,19.77
185_1_438,-38.00367410771755,1.7074855717710593,-22.257098236150195,33.37565231323242,2019-09-16,290.3710422515869,39.38341433265008,-76.39936747439695,1,0,ASC,4037513.0,101151.34977213542,296.6837666829427,6.635487079620361e-05,0.5152428944905599,0.4406579335530599,49.461511788989526,0.677978358597281,"{""type"":""Point"",""coordinates"":[-76.39936747439695,39.38341433265008]}",25.24,32.11,19.67,0.94,0.0,14.77
185_2_38,-28.34927022928681,1.5810899237176284,-17.930207386705092,31.46376609802246,2019-09-16,295.0230604807536,38.05463005904797,-76.4054840714764,0,0,ASC,5194944.75,101731.68310546876,297.8440856933594,7.772787163654964e-05,-0.4443518320719401,1.1381676991780598,-21.32616116222605,1.2218323379735734,"{""type"":""Point"",""coordinates"":[-76.4054840714764,38.05463005904798]}",25.65,29.3,22.94,1.54,0.07,19.77
185_2_88,-19.52403938122869,1.98042393717222,-9.858515146563215,33.61942672729492,2019-09-16,294.7372531890869,37.26195866748024,-75.85615398810167,0,0,ASC,6038626.833333333,101714.68310546876,297.1888936360677,1.382734626531601e-05,-2.033503850301107,0.5986169179280599,-73.59677988615037,2.119783036921259,"{""type"":""Point"",""coordinates"":[-75.85615398810167,37.26195866748024]}",24.55,26.3,23.31,2.32,0.06,20.99
185_2_260,-16.47053386597963,2.1738739482938976,-7.576581833967904,33.6102409362793,2019-09-16,294.7372531890869,37.271444156944106,-75.85993330772948,0,0,ASC,6038626.833333333,101714.68310546876,297.1888936360677,1.382734626531601e-05,-2.033503850301107,0.5986169179280599,-73.59677988615037,2.119783036921259,"{""type"":""Point"",""coordinates"":[-75.85993330772948,37.27144415694411]}",24.55,26.3,23.31,2.32,0.06,20.99
185_2_290,-26.681964399790097,1.5612354929526755,-17.090288121318597,31.48238182067871,2019-09-16,294.3498020172119,38.324072942159816,-76.46700986921343,0,0,ASC,5082033.75,101554.26643880208,297.95337931315106,5.871988832950592e-05,-0.2354895273844401,1.3009281158447266,-10.260380191510045,1.3220700738247793,"{""type"":""Point"",""coordinates"":[-76.46700986921343,38.324072942159816]}",26.29,32.5,21.54,0.95,0.04,19.77
186_1_7,-31.454459198209484,1.1766177313563726,-26.73294678463637,41.86134338378906,2019-09-21,288.43691698710126,37.07854447316908,-76.33926388459538,1,0,ASC,6077645.75,102344.07259114584,294.104637781779,1.81297418559249e-08,0.8727334340413412,3.372462431589762,14.50884311991514,3.483556587652614,"{""type"":""Point"",""coordinates"":[-76.33926388459538,37.078544473169075]}",21.8,27.79,15.96,2.68,0.2,21.13
186_1_11,-29.17289924813728,1.290481238070078,-22.606217268036776,45.01417922973633,2019-09-21,286.5859241485596,39.68334252710496,-76.19965432641052,1,0,ASC,5495226.166666667,101128.32259114584,294.334129969279,1.81297418559249e-08,0.6023476918538412,0.9938817024230956,31.218198064513484,1.162163319113575,"{""type"":""Point"",""coordinates"":[-76.19965432641052,39.68334252710496]}",21.68,30.43,13.93,0.91,0.05,20.15
186_1_133,-29.75276361364013,1.176600726994773,-25.287051869867074,45.16429901123047,2019-09-21,288.42959276835126,39.15744350954389,-76.0593068740037,1,0,ASC,5384704.833333333,102085.19759114584,294.9414704640706,1.81297418559249e-08,0.5238971710205078,2.617172718048096,11.31967055771644,2.669093719204807,"{""type"":""Point"",""coordinates"":[-76.0593068740037,39.15744350954389]}",22.22,30.4,14.44,1.53,0.29,20.15
186_1_139,-28.953217781957207,1.0160253353630897,-28.496550995561943,44.49681854248047,2019-09-21,288.84007453918457,39.03327481911461,-76.18847968650985,1,0,ASC,5819724.666666667,102261.28092447916,295.1563142140706,1.81297418559249e-08,0.6911741892496744,3.529566923777262,11.079688528185606,3.596604569494321,"{""type"":""Point"",""coordinates"":[-76.18847968650985,39.0332748191146]}",22.22,30.4,14.44,1.53,0.29,20.15
186_1_187,-39.95841354452372,1.309680832712731,-30.510039199213285,41.56255340576172,2019-09-21,288.3421090443929,37.63261430195355,-76.51771839296354,1,0,ASC,5816490.916666667,102192.2392578125,294.8350251515706,1.81297418559249e-08,0.8530394236246744,2.793198108673096,16.982609810955662,2.9205533606754863,"{""type"":""Point"",""coordinates"":[-76.51771839296354,37.63261430195355]}",22.52,28.21,17.18,2.75,0.11,21.13
186_1_192,-32.5576661613553,1.2305015467849116,-26.458858378864186,44.6986083984375,2019-09-21,288.1089547475179,39.39199763548393,-76.21323492350629,1,0,ASC,5728381.416666667,102111.3642578125,295.1357250213623,1.81297418559249e-08,0.5658486684163412,2.140081246693929,14.81038049951094,2.21362428112803,"{""type"":""Point"",""coordinates"":[-76.21323492350629,39.39199763548393]}",21.68,30.43,13.93,0.91,0.05,20.15
186_1_237,-31.357245166163523,1.4088047613672845,-22.25804882695771,37.707130432128906,2019-09-21,287.1459827423096,37.2940855341036,-77.19527021296507,1,0,ASC,5457487.0,102115.9892578125,294.562401453654,1.81297418559249e-08,0.3493773142496745,1.7147475878397624,11.516297638218168,1.74997822778302,"{""type"":""Point"",""coordinates"":[-77.19527021296507,37.29408553410361]}",23.27,34.04,13.45,0.43,0.02,20.72
186_1_250,-39.41314169522088,1.4189013305350116,-27.77722512978386,45.10932922363281,2019-09-21,289.48086229960126,37.71258471480023,-75.77961592134223,1,0,ASC,6071774.083333333,102344.4892578125,294.618309656779,1.81297418559249e-08,1.932792027791341,4.014837106068929,25.706736582805647,4.455850312898953,"{""type"":""Point"",""coordinates"":[-75.77961592134223,37.71258471480023]}",22.46,24.48,20.6,4.41,0.01,21.06
186_1_265,-33.80266626654388,1.2790895757110443,-26.427129818295185,42.89493179321289,2019-09-21,288.59829394022626,38.18102449592077,-76.354758736145,1,0,ASC,5890028.583333333,102242.65592447916,295.1508617401123,1.81297418559249e-08,0.5920937856038412,3.164942900339762,10.596341276913476,3.219850712899863,"{""type"":""Point"",""coordinates"":[-76.354758736145,38.18102449592077]}",22.68,27.76,17.93,2.9,0.17,20.39
186_1_288,-27.31747364506277,1.0982058584617844,-24.874638424644104,40.9547233581543,2019-09-21,288.2400582631429,37.79036403587877,-76.67156515004218,1,0,ASC,5798893.5,102123.19759114584,294.665672938029,1.81297418559249e-08,0.3910439809163411,1.3863784472147624,15.75171583256868,1.4404723509712067,"{""type"":""Point"",""coordinates"":[-76.67156515004218,37.790364035878774]}",22.39,32.64,13.21,0.52,0.13,21.13
186_1_290,-26.939470815440988,0.9760555653523354,-27.60034548413892,43.94853591918945,2019-09-21,288.7602405548096,38.73392230176207,-76.24842717678327,1,0,ASC,5839609.833333333,102290.32259114584,295.1467113494873,1.81297418559249e-08,0.6180540720621744,3.153631051381429,11.088387513869506,3.213624067035498,"{""type"":""Point"",""coordinates"":[-76.24842717678327,38.73392230176207]}",22.52,29.92,15.43,1.72,0.35,20.39
186_1_301,-35.64564233966464,1.596336553237104,-22.32965364814909,40.39339447021485,2019-09-21,288.2703317006429,37.199262478617065,-76.65976736977741,1,0,ASC,5971406.833333333,102222.3642578125,294.229637781779,1.81297418559249e-08,0.5102659861246744,1.941350777943929,14.726564345792298,2.007290267903296,"{""type"":""Point"",""coordinates"":[-76.65976736977741,37.199262478617065]}",21.59,31.73,12.29,0.74,0.25,21.13
186_1_332,-35.95571066884047,1.4291465466004227,-25.158868944804848,45.42958450317383,2019-09-21,287.6458199818929,39.38555439127583,-76.04693847405206,1,0,ASC,5664143.166666667,102075.6142578125,294.2846508026123,1.81297418559249e-08,0.5832640329996744,1.6953384081522624,18.985260526030856,1.7928662109447244,"{""type"":""Point"",""coordinates"":[-76.04693847405206,39.385554391275825]}",21.68,30.43,13.93,0.91,0.05,20.15
186_1_355,-27.40612049617122,1.2203171267544748,-22.458195411105848,44.56129455566406,2019-09-21,289.4726428985596,37.5492397986249,-75.86663133426741,1,0,ASC,5735984.083333333,102353.9892578125,294.719628016154,1.81297418559249e-08,2.4354775746663413,5.053533395131429,25.731071737245145,5.609790619302224,"{""type"":""Point"",""coordinates"":[-75.86663133426741,37.54923979862491]}",22.46,24.48,20.6,4.41,0.01,21.06
186_1_384,-26.95336317131507,0.9275347802090566,-29.05914014915976,40.72688674926758,2019-09-21,288.2400582631429,37.8070165520791,-76.72082444657929,1,0,ASC,5798893.5,102123.19759114584,294.665672938029,1.81297418559249e-08,0.3910439809163411,1.3863784472147624,15.75171583256868,1.4404723509712067,"{""type"":""Point"",""coordinates"":[-76.72082444657929,37.807016552079105]}",22.39,32.64,13.21,0.52,0.13,21.13
186_1_396,-28.51215254360197,0.9738501493264066,-29.277761638505964,41.31248092651367,2019-09-21,288.0253772735596,37.66804204662815,-76.5763059713333,1,0,ASC,5796347.083333333,102183.32259114584,294.7512035369873,1.81297418559249e-08,0.5590127309163412,1.8327895800272624,16.962046494443697,1.9161453175537224,"{""type"":""Point"",""coordinates"":[-76.5763059713333,37.66804204662815]}",22.22,32.71,12.75,0.56,0.09,21.13
186_1_398,-34.753946463674595,1.227493140723943,-28.31294555599523,43.14792251586914,2019-09-21,289.1191272735596,36.94709711009913,-76.04567074652736,1,0,ASC,6114953.416666667,102398.1142578125,294.074608484904,1.81297418559249e-08,0.8113727569580078,3.422389189402262,13.337321697816211,3.5172536892398183,"{""type"":""Point"",""coordinates"":[-76.04567074652736,36.94709711009913]}",21.8,27.79,15.96,2.68,0.2,21.49
186_1_399,-25.55431423877257,1.0922835899917296,-23.395310954883115,40.36017990112305,2019-09-21,288.2703317006429,37.158555875725824,-76.65732967341695,1,0,ASC,5971406.833333333,102222.3642578125,294.229637781779,1.81297418559249e-08,0.5102659861246744,1.941350777943929,14.726564345792298,2.007290267903296,"{""type"":""Point"",""coordinates"":[-76.65732967341697,37.158555875725824]}",21.59,31.73,12.29,0.74,0.25,21.13
186_1_430,-39.08653571612693,1.594738918198383,-24.50967695720625,43.07798004150391,2019-09-21,287.9540882110596,37.93494008897799,-76.26374325371324,1,0,ASC,5787220.583333333,102221.40592447916,295.3527660369873,1.81297418559249e-08,0.7734088897705078,2.898219267527262,14.941575671411211,2.9996393505623824,"{""type"":""Point"",""coordinates"":[-76.26374325371324,37.93494008897799]}",22.68,27.76,17.93,2.9,0.17,21.13
186_1_438,-27.906873927988308,1.1549844689554405,-24.162120511652496,43.85535430908203,2019-09-21,287.5190296173096,39.38341433265008,-76.39936747439695,1,0,ASC,5463562.083333333,101697.07259114584,294.817040125529,1.81297418559249e-08,0.4441852569580078,1.927678902943929,12.97588528508597,1.9781927346327912,"{""type"":""Point"",""coordinates"":[-76.39936747439695,39.38341433265008]}",21.68,30.43,13.93,0.91,0.05,20.15
186_1_440,-33.91582779816304,1.5320734734440955,-22.137207115739944,41.41228866577149,2019-09-21,288.07754198710126,37.64830399387009,-76.5517764640962,1,0,ASC,5565404.166666667,102127.53092447916,294.579247156779,1.81297418559249e-08,0.6521523793538412,2.183375517527262,16.630358064993008,2.2786907153965226,"{""type"":""Point"",""coordinates"":[-76.5517764640962,37.64830399387009]}",22.52,28.21,17.18,2.75,0.11,21.13
186_1_480,-32.52673122193127,1.370919607137424,-23.726213450144872,39.44419479370117,2019-09-21,286.53896776835126,38.097455177413615,-77.03824758957788,1,0,ASC,5335878.166666667,101956.53092447916,295.237694422404,1.81297418559249e-08,0.1003945668538411,1.498113473256429,3.833886694972066,1.501473625411453,"{""type"":""Point"",""coordinates"":[-77.03824758957788,38.09745517741361]}",22.39,32.64,13.21,0.52,0.13,20.08
186_1_493,-31.14515282420749,1.1584401314418673,-26.8854228879677,40.23233795166016,2019-09-21,286.92112922668457,37.96635992232168,-76.853978656433,1,0,ASC,5514581.833333333,102000.94759114584,294.9920075734456,1.81297418559249e-08,0.1698525746663411,1.5511326789855957,6.249121001041705,1.5604045901425103,"{""type"":""Point"",""coordinates"":[-76.853978656433,37.96635992232168]}",22.39,32.64,13.21,0.52,0.13,21.13
186_2_88,-17.09063833339893,1.6115481076983051,-10.605105892748462,44.34565353393555,2019-09-21,289.4678414662679,37.26195866748024,-75.85615398810167,0,0,ASC,6392473.666666667,102364.19759114584,294.5839672088623,1.81297418559249e-08,2.0227171579996743,5.024277210235596,21.929157961798083,5.416156034177658,"{""type"":""Point"",""coordinates"":[-75.85615398810167,37.26195866748024]}",22.46,24.48,20.6,4.41,0.01,21.06
186_2_260,-21.54958055728253,3.1159062464854963,-6.915991320852099,44.337379455566406,2019-09-21,289.4678414662679,37.271444156944106,-75.85993330772948,0,0,ASC,6392473.666666667,102364.19759114584,294.5839672088623,1.81297418559249e-08,2.0227171579996743,5.024277210235596,21.929157961798083,5.416156034177658,"{""type"":""Point"",""coordinates"":[-75.85993330772948,37.27144415694411]}",22.46,24.48,20.6,4.41,0.01,21.06
186_2_331,-23.31873367546439,1.300618133850815,-17.928962443744556,38.9881706237793,2019-09-21,287.0696481068929,37.55534405008471,-77.00673349392598,0,0,ASC,5370142.333333333,102124.19759114584,294.5386384328206,1.81297418559249e-08,0.3359088897705078,1.6668553352355957,11.393786750425082,1.7003651051554267,"{""type"":""Point"",""coordinates"":[-77.00673349392598,37.555344050084706]}",22.22,32.71,12.75,0.56,0.09,20.72
187_1_7,-28.43069542639913,1.2095069481053595,-23.50602075575885,30.57341766357422,2019-09-28,294.4241205851237,37.07854447316908,-76.33926388459538,1,0,ASC,3158171.569946289,101864.5078125,297.8912658691406,0.0025586685923807,-0.6664497057596842,2.363756815592448,-15.745539254306266,2.45591154025688,"{""type"":""Point"",""coordinates"":[-76.33926388459538,37.078544473169075]}",26.39,31.45,23.12,2.37,0.39,14.46
187_1_11,-31.894784903178834,1.3992153970815209,-22.794764101156176,34.86893081665039,2019-09-28,290.6838862101237,39.68334252710496,-76.19965432641052,1,0,ASC,3669452.819946289,100706.96614583331,295.6297098795573,2.469306941558595e-05,-0.0295478502909342,2.308784484863281,-0.733232012638751,2.308973553985022,"{""type"":""Point"",""coordinates"":[-76.19965432641052,39.68334252710496]}",24.48,31.98,17.38,1.6,0.02,11.23
187_1_33,-28.57481796763391,1.0135070495901617,-28.194000208670367,35.5234375,2019-09-28,290.82068634033203,39.36853550007995,-76.01059248597983,1,0,ASC,3253166.319946289,101660.3828125,295.9280497233073,4.20004577013818e-05,0.0107760429382324,2.552355448404948,0.2419013041721501,2.552378196526492,"{""type"":""Point"",""coordinates"":[-76.01059248597983,39.36853550007995]}",24.48,31.98,17.38,1.6,0.02,11.23
187_1_41,-26.65872350162393,1.2055340221898976,-22.11362185631009,40.67111206054688,2019-09-28,291.73157501220703,39.33518587725137,-75.00825585474045,1,0,ASC,3687531.736612956,101837.84114583331,295.3233947753906,1.954906439512645e-05,-0.516527016957601,3.292345682779948,-8.916296526924173,3.3326176279565707,"{""type"":""Point"",""coordinates"":[-75.00825585474045,39.33518587725137]}",23.06,29.32,16.79,2.64,0.05,14.3
187_1_102,-30.204292137522728,1.3170885981750071,-22.932619855167367,38.895538330078125,2019-09-28,292.3140131632487,38.405178497515976,-75.15427952171069,1,0,ASC,3373322.4032796226,101883.42447916669,296.20018513997394,0.00010049589729040538,-0.564500649770101,2.871691385904948,-11.121078325369082,2.926648663483806,"{""type"":""Point"",""coordinates"":[-75.15427952171069,38.405178497515976]}",23.29,25.54,21.15,3.43,1.9,13.04
187_1_133,-25.231060447244467,1.006312714229214,-25.07278313239858,34.97796630859375,2019-09-28,291.63660430908203,39.15744350954389,-76.0593068740037,1,0,ASC,3259923.069946289,101661.29947916669,296.2388407389323,4.7158743001318726e-05,-0.4351671536763509,3.845039367675781,-6.457046116727132,3.869586307425556,"{""type"":""Point"",""coordinates"":[-76.0593068740037,39.15744350954389]}",25.06,31.63,18.9,2.3,0.08,11.23
187_1_192,-24.77953739536418,0.814349277671423,-30.42863556804471,34.43699264526367,2019-09-28,291.75672149658203,39.39199763548393,-76.21323492350629,1,0,ASC,3668408.569946289,101686.1328125,296.25389607747394,6.049962844182725e-05,-0.3068102200826009,3.3708775838216147,-5.200612406057169,3.384811397442726,"{""type"":""Point"",""coordinates"":[-76.21323492350629,39.39199763548393]}",24.48,31.98,17.38,1.6,0.02,11.23
187_1_239,-34.23625002340722,1.4542864304402885,-23.541614159902544,34.04852294921875,2019-09-28,293.3735834757487,37.95935169625495,-75.94619901488262,1,0,ASC,2990379.9032796226,101980.8828125,296.78465779622394,0.00035063517099350366,-1.1960314114888508,3.4479039510091147,-19.130970932857075,3.649456506474941,"{""type"":""Point"",""coordinates"":[-75.94619901488262,37.95935169625495]}",25.28,29.18,22.26,2.32,0.31,15.12
187_1_250,-31.311739694852577,1.212124595051994,-25.832113152946512,34.66814422607422,2019-09-28,293.89693959554035,37.71258471480023,-75.77961592134223,1,0,ASC,3021980.819946289,101901.29947916669,296.6861877441406,0.0008005415847473311,-1.4283515612284343,3.580390930175781,-21.748901384807915,3.854787594063868,"{""type"":""Point"",""coordinates"":[-75.77961592134223,37.71258471480023]}",24.35,25.96,22.95,3.99,1.39,15.12
187_1_265,-28.56468758102308,1.1386833409358976,-25.085716593996548,31.950122833251957,2019-09-28,293.29269154866535,38.18102449592077,-76.354758736145,1,0,ASC,3053203.4032796226,101804.8828125,297.2030334472656,0.00019392338400810635,-1.1620958646138508,4.231066385904948,-15.358027576564876,4.38775450093637,"{""type"":""Point"",""coordinates"":[-76.354758736145,38.18102449592077]}",25.28,29.18,22.26,2.32,0.31,10.45
187_1_313,-33.41888218964076,1.4333674389829572,-23.31494443138255,34.36724853515625,2019-09-28,291.75672149658203,39.38696392935898,-76.22444844690204,1,0,ASC,3668408.569946289,101686.1328125,296.25389607747394,6.049962844182725e-05,-0.3068102200826009,3.3708775838216147,-5.200612406057169,3.384811397442726,"{""type"":""Point"",""coordinates"":[-76.22444844690204,39.38696392935898]}",24.48,31.98,17.38,1.6,0.02,11.23
187_1_332,-33.6075535244627,1.5062646109050717,-22.31185230081777,35.34685516357422,2019-09-28,290.82068634033203,39.38555439127583,-76.04693847405206,1,0,ASC,3253166.319946289,101660.3828125,295.9280497233073,4.20004577013818e-05,0.0107760429382324,2.552355448404948,0.2419013041721501,2.552378196526492,"{""type"":""Point"",""coordinates"":[-76.04693847405206,39.385554391275825]}",24.48,31.98,17.38,1.6,0.02,11.23
187_1_355,-29.560357253035026,1.2567506833619515,-23.521258149593912,33.95011520385742,2019-09-28,294.11414337158203,37.5492397986249,-75.86663133426741,1,0,ASC,2950280.319946289,101900.71614583331,296.8736877441406,0.0011794262702835,-1.8354560534159343,4.114163716634114,-24.04313250855152,4.505024085539368,"{""type"":""Point"",""coordinates"":[-75.86663133426741,37.54923979862491]}",24.35,25.96,22.95,3.99,1.39,15.12
187_1_497,-23.38128496262765,0.9019180337375629,-25.92395770792522,30.638671875,2019-09-28,289.6699701944987,39.472392966361205,-76.88276342017048,1,0,ASC,4253352.986612956,99671.21614583331,296.3661193847656,6.222459234095368e-06,0.1501396497090657,2.153877258300781,3.987448996796353,2.159103785888963,"{""type"":""Point"",""coordinates"":[-76.88276342017048,39.472392966361205]}",24.94,33.15,17.53,2.19,0.01,11.23
187_2_88,-31.828686368870382,4.185743918699266,-7.604069189870854,33.62160110473633,2019-09-28,294.42981719970703,37.26195866748024,-75.85615398810167,0,0,ASC,3477695.736612956,101898.34114583331,296.99632771809894,0.0014572810829254,-2.0475125312805176,3.6012242635091147,-29.62083385876891,4.142598672552956,"{""type"":""Point"",""coordinates"":[-75.85615398810167,37.26195866748024]}",24.35,25.96,22.95,3.99,1.39,15.12
187_2_260,-21.289747013777163,3.105563401195808,-6.855357390410857,33.61241149902344,2019-09-28,294.42981719970703,37.271444156944106,-75.85993330772948,0,0,ASC,3477695.736612956,101898.34114583331,296.99632771809894,0.0014572810829254,-2.0475125312805176,3.6012242635091147,-29.62083385876891,4.142598672552956,"{""type"":""Point"",""coordinates"":[-75.85993330772948,37.27144415694411]}",24.35,25.96,22.95,3.99,1.39,15.12
187_2_290,-25.393255639354617,1.5135774681695515,-16.77697783785326,31.48458671569824,2019-09-28,292.91036732991535,38.324072942159816,-76.46700986921343,0,0,ASC,3062698.9032796226,101698.04947916669,297.37987263997394,0.00013590260849127844,-0.763780434926351,3.557685852050781,-12.11660748221547,3.6387482977884815,"{""type"":""Point"",""coordinates"":[-76.46700986921343,38.324072942159816]}",25.23,30.76,20.58,1.95,0.24,10.45
187_2_314,-26.54791446270155,1.6405446699592492,-16.182378297179188,33.61921310424805,2019-09-28,292.80880482991535,39.01773129010771,-76.26791445117814,0,0,ASC,3622216.319946289,101834.34114583331,296.8517150878906,6.143064057558452e-05,-1.0291816393534343,5.716051737467448,-10.206811921511008,5.807965419334628,"{""type"":""Point"",""coordinates"":[-76.26791445117814,39.01773129010771]}",25.06,31.63,18.9,2.3,0.08,11.23
188_1_11,-32.80590540179443,1.0967386461454296,-29.91223617139166,45.01640701293945,2019-10-03,290.66526985168457,39.68334252710496,-76.19965432641052,1,0,ASC,1784248.0255940754,100322.13053385416,294.9056841532389,0.0002960818163728618,-1.9377740224202475,-0.1003653208414713,-92.96493570531416,1.9403714488711576,"{""type"":""Point"",""coordinates"":[-76.19965432641052,39.68334252710496]}",22.32,25.98,19.34,2.29,0.06,3.12
188_1_192,-28.350994319367224,1.2373700951691964,-22.91229958607537,44.700870513916016,2019-10-03,291.86025683085126,39.39199763548393,-76.21323492350629,1,0,ASC,2308192.942260742,101251.4638671875,296.0020383199056,0.00021274396798768672,-2.965402603149414,-0.2362295786539713,-94.55467171275195,2.9747969699790198,"{""type"":""Point"",""coordinates"":[-76.21323492350629,39.39199763548393]}",22.32,25.98,19.34,2.29,0.06,3.12
188_1_250,-29.169850817659327,1.2486854292694551,-23.360447822895782,45.11158752441406,2019-10-03,295.35195604960126,37.71258471480023,-75.77961592134223,1,0,ASC,4986369.108927409,101260.8388671875,298.5486691792806,1.360441463778746e-06,-1.099191665649414,0.7343107859293619,-56.255247373264936,1.32190568807511,"{""type"":""Point"",""coordinates"":[-75.77961592134223,37.71258471480023]}",24.44,25.38,23.08,3.4,1.64,10.15
